date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_gap_open,sig_prev_day_sr,sig_ema_cross,sig_range_width
2025-04-21,put,191.28,190.3,192.59,190.3,189.32,193.75999450683594,191.36000061035156,target_1,0.98,0.5123,-53,10:30,11:30,True,0,0,0,-15,5,-10,5,0,0,-10,8
2025-04-22,call,199.06,201.52,197.42,200.29,201.52,198.94000244140625,196.0,target_2,2.46,1.2358,35,10:30,11:30,True,0,0,0,15,5,10,5,10,0,-10,0
2025-04-23,skip,0.0,0.0,0.0,0.0,0.0,208.0,204.63009643554688,no_entry,0.0,0.0,25,,,False,0,0,0,15,5,0,5,10,0,-10,0
2025-04-24,call,206.42,207.77,204.62,207.77,209.12,206.35000610351562,202.94000244140625,target_1,1.35,0.654,35,10:30,13:30,True,0,0,0,15,5,10,5,10,-8,-10,8
2025-04-25,skip,0.0,0.0,0.0,0.0,0.0,209.24989318847656,206.1999969482422,no_entry,0.0,0.0,-53,,,False,0,0,0,-15,5,0,5,-10,0,-10,8
2025-04-28,put,208.67,207.56,210.15,207.56,206.45,211.5,208.74000549316406,target_1,1.11,0.5319,-43,10:30,11:30,True,0,0,0,-15,5,-10,5,10,0,-10,8
2025-04-29,skip,0.0,0.0,0.0,0.0,0.0,212.24000549316406,208.3699951171875,no_entry,0.0,0.0,33,,,False,0,0,0,15,5,10,5,0,0,-10,8
2025-04-30,skip,0.0,0.0,0.0,0.0,0.0,209.72000122070312,206.67050170898438,no_breakout,0.0,0.0,-3,,,False,0,0,0,15,5,0,5,-10,-8,-10,0
2025-05-01,skip,0.0,0.0,0.0,0.0,0.0,212.5,208.89999389648438,no_breakout,0.0,0.0,15,,,False,0,0,0,15,5,10,5,-10,-8,-10,8
2025-05-02,skip,0.0,0.0,0.0,0.0,0.0,206.8199005126953,202.16000366210938,no_breakout,0.0,0.0,13,,,False,0,0,0,15,5,0,5,-10,0,-10,8
2025-05-05,put,198.56,198.77000427246094,201.39,196.44,194.32,204.10000610351562,198.6199951171875,time_stop,-0.21,-0.1058,-63,10:30,15:30,False,0,0,0,-15,5,-10,5,-10,0,-10,8
2025-05-06,skip,0.0,0.0,0.0,0.0,0.0,199.8800048828125,197.02000427246094,no_breakout,0.0,0.0,23,,,False,0,0,0,15,5,0,5,0,0,-10,8
2025-05-07,skip,0.0,0.0,0.0,0.0,0.0,199.44000244140625,197.35000610351562,no_breakout,0.0,0.0,17,,,False,0,0,0,15,5,10,5,0,-8,-10,0
2025-05-08,skip,0.0,0.0,0.0,0.0,0.0,198.1300048828125,194.67959594726562,no_entry,0.0,0.0,-43,,,False,0,0,0,-15,5,-10,5,10,0,-10,8
2025-05-09,put,198.07,199.35,199.35,197.11,196.15,200.53990173339844,198.1199951171875,stop,-1.28,-0.6462,-33,10:30,14:30,False,0,0,0,-15,5,0,5,10,0,-10,8
2025-05-12,skip,0.0,0.0,0.0,0.0,0.0,211.26649475097656,206.75,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,-10,0,10,0,-10,8
2025-05-13,call,211.72,212.75,210.35,212.75,213.78,211.6656951904297,209.0800018310547,target_1,1.03,0.4865,28,10:30,13:30,True,0,0,0,15,5,10,0,0,0,-10,8
2025-05-14,skip,0.0,0.0,0.0,0.0,0.0,213.94000244140625,211.8699951171875,no_entry,0.0,0.0,28,,,False,0,0,0,15,5,10,0,0,0,-10,8
2025-05-15,skip,0.0,0.0,0.0,0.0,0.0,212.52999877929688,209.5399932861328,no_entry,0.0,0.0,-40,,,False,0,0,0,-15,5,0,0,-10,8,-10,8
2025-05-16,put,210.52,211.58,211.58,209.73,208.93,212.57000732421875,210.55999755859375,stop,-1.06,-0.5035,-38,10:30,13:30,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-05-19,skip,0.0,0.0,0.0,0.0,0.0,208.27000427246094,204.25999450683594,no_breakout,0.0,0.0,-18,,,False,0,0,0,15,5,-10,0,-10,0,-10,8
2025-05-20,skip,0.0,0.0,0.0,0.0,0.0,208.1436004638672,206.47000122070312,no_breakout,0.0,0.0,2,,,False,0,0,0,15,5,0,0,0,-8,-10,0
2025-05-21,skip,0.0,0.0,0.0,0.0,0.0,206.7799072265625,204.05999755859375,no_breakout,0.0,0.0,5,,,False,0,0,0,15,5,0,5,-10,0,-10,0
2025-05-22,skip,0.0,0.0,0.0,0.0,0.0,201.63999938964844,199.6999969482422,no_entry,0.0,0.0,-45,,,False,0,0,0,-15,5,0,5,-10,8,-10,8
2025-05-23,skip,0.0,0.0,0.0,0.0,0.0,197.6999969482422,193.4600067138672,no_breakout,0.0,0.0,23,,,False,0,0,0,15,5,10,5,-10,0,-10,8
2025-05-27,call,199.22,199.92,198.28,199.92,200.63,199.1699981689453,197.42999267578125,target_1,0.7,0.3514,28,10:30,11:30,True,0,0,0,15,5,0,0,10,0,-10,8
2025-05-28,skip,0.0,0.0,0.0,0.0,0.0,202.72999572753906,199.89999389648438,no_entry,0.0,0.0,-28,,,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-05-29,put,200.7,199.5,202.3,199.5,198.3,203.77999877929688,200.75999450683594,target_1,1.2,0.5979,-38,10:30,11:30,True,0,0,0,-15,5,-10,0,10,0,-10,8
2025-05-30,skip,0.0,0.0,0.0,0.0,0.0,199.57000732421875,197.97000122070312,no_breakout,0.0,0.0,10,,,False,0,0,0,15,5,0,0,0,0,-10,0
2025-06-02,skip,0.0,0.0,0.0,0.0,0.0,202.1300048828125,200.1199951171875,no_entry,0.0,0.0,-38,,,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-06-03,skip,0.0,0.0,0.0,0.0,0.0,203.24000549316406,200.9550018310547,no_entry,0.0,0.0,-28,,,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-06-04,skip,0.0,0.0,0.0,0.0,0.0,206.24000549316406,202.6508026123047,no_entry,0.0,0.0,38,,,False,0,0,0,15,5,10,0,10,0,-10,8
2025-06-05,skip,0.0,0.0,0.0,0.0,0.0,203.83999633789062,201.27000427246094,no_breakout,0.0,0.0,-22,,,False,0,0,0,-15,5,-10,0,10,8,-10,0
2025-06-06,put,202.92,204.37,204.37,201.83,200.74,205.6999969482422,202.98309326171875,stop,-1.45,-0.7146,-28,10:30,13:30,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-06-09,skip,0.0,0.0,0.0,0.0,0.0,206.0,203.97999572753906,no_entry,0.0,0.0,25,,,False,0,0,0,15,0,10,0,10,0,-10,0
2025-06-10,call,203.41,201.94,201.94,204.51,205.62,203.35690307617188,200.57000732421875,stop,-1.47,-0.7227,28,10:30,12:30,False,0,0,0,15,5,10,0,0,0,-10,8
2025-06-11,put,202.26,200.49,203.44,201.38,200.49,204.5,202.3300018310547,target_2,1.77,0.8751,-38,10:30,11:30,True,0,0,0,-15,5,-10,0,10,0,-10,8
2025-06-12,skip,0.0,0.0,0.0,0.0,0.0,199.38999938964844,197.360107421875,no_entry,0.0,0.0,-30,,,False,0,0,0,-15,5,-10,0,10,8,-10,8
2025-06-13,put,195.86,196.4499969482422,198.16,194.14,192.41,200.3699951171875,195.91000366210938,time_stop,-0.59,-0.3012,-43,14:30,15:30,False,0,0,0,-15,5,-10,5,10,0,-10,8
2025-06-16,skip,0.0,0.0,0.0,0.0,0.0,198.68499755859375,196.5635986328125,no_entry,0.0,0.0,38,,,False,0,0,0,15,5,10,0,10,0,-10,8
2025-06-17,skip,0.0,0.0,0.0,0.0,0.0,197.92999267578125,196.2550048828125,no_breakout,0.0,0.0,15,,,False,0,0,0,15,5,0,5,0,-8,-10,8
2025-06-18,call,197.57,196.27,196.27,198.54,199.52,197.50999450683594,195.07000732421875,stop,-1.3,-0.658,35,10:30,12:30,False,0,0,0,15,5,10,5,10,-8,-10,8
2025-06-20,put,197.46,199.26,199.26,196.11,194.76,200.94000244140625,197.52999877929688,stop,-1.8,-0.9116,-33,10:30,12:30,False,0,0,0,-15,5,0,5,10,0,-10,8
2025-06-23,skip,0.0,0.0,0.0,0.0,0.0,202.3000030517578,199.94000244140625,no_entry,0.0,0.0,28,,,False,0,0,0,15,5,0,0,10,0,-10,8
2025-06-24,skip,0.0,0.0,0.0,0.0,0.0,202.6699981689453,200.1999969482422,no_entry,0.0,0.0,-28,,,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-06-25,skip,0.0,0.0,0.0,0.0,0.0,203.66000366210938,201.1999969482422,no_entry,0.0,0.0,30,,,False,0,0,0,15,5,10,0,10,-8,-10,8
2025-06-26,put,199.6,201.15,201.15,198.44,197.27,202.61500549316406,199.64999389648438,stop,-1.55,-0.7766,-38,10:30,13:30,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-06-27,put,201.21,202.26,202.26,200.42,199.64,203.22000122070312,201.25999450683594,stop,-1.05,-0.5218,-28,10:30,12:30,False,0,0,0,-15,5,0,0,10,0,-10,8
