date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2025-04-30,call,467.3800048828125,471.1,464.9,469.24,471.1,467.5050048828125,462.42999267578125,target_2,3.72,0.7959,35,10:30,11:30,True,5,0,0,20,5,0,5,-10.0,-10.0,8.0,6.0
2025-05-01,call,484.1499938964844,482.49,482.49,485.39,486.64,484.2900085449219,480.8200988769531,stop,-1.66,-0.3429,35,10:30,11:30,False,5,0,0,20,5,0,5,-10.0,10.0,0.0,6.0
2025-05-02,call,488.6300048828125,490.08,486.7,490.08,491.53,488.6600036621094,484.8299865722656,target_1,1.45,0.2967,45,10:30,11:30,True,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2025-05-05,call,486.79,487.71,485.56,487.71,488.64,487.0899963378906,484.1000061035156,target_1,0.92,0.189,40,10:30,11:30,True,0,0,0,20,5,10,5,-10.0,-10.0,0.0,7.0
2025-05-06,call,482.0350036621094,484.79,480.2,483.41,484.79,482.2900085449219,478.20001220703125,target_2,2.755,0.5715,45,10:30,11:30,True,5,0,0,20,5,10,5,-10.0,-10.0,8.0,7.0
2025-05-07,call,483.8800048828125,482.51,482.51,484.91,485.94,484.0,481.19500732421875,stop,-1.37,-0.2831,45,10:30,11:30,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2025-05-08,put,485.59,487.05,487.05,484.49,483.4,488.7300109863281,485.239990234375,stop,-1.46,-0.3007,-40,10:30,11:30,False,0,0,0,-20,5,-10,5,-10.0,10.0,0.0,6.0
2025-05-09,put,487.91,486.67,489.56,486.67,485.44,491.5400085449219,487.5101013183594,target_1,1.24,0.2541,-45,10:30,11:30,True,-5,0,0,-20,5,-10,5,-10.0,10.0,0.0,6.0
2025-05-12,put,502.739990234375,504.71,504.71,501.26,499.78,507.05999755859375,502.2799987792969,stop,-1.97,-0.3919,-40,10:30,11:30,False,-5,0,0,-20,5,-10,0,10.0,10.0,0.0,7.0
2025-05-13,call,514.3,516.29,511.65,516.29,518.27,514.9500122070312,508.4200134277344,target_1,1.99,0.3869,40,10:30,11:30,True,5,0,0,20,5,10,0,10.0,10.0,0.0,7.0
2025-05-14,call,518.6,517.3,517.3,519.58,520.55,518.9199829101562,515.75,stop,-1.3,-0.2507,25,11:30,12:30,False,0,0,0,20,5,0,0,10.0,10.0,0.0,6.0
