date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix
2026-03-06,skip,0.0,0.0,0.0,0.0,0.0,674.3599853515625,669.760009765625,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0
2026-03-09,skip,0.0,0.0,0.0,0.0,0.0,667.6300048828125,662.3900146484375,no_entry,0.0,0.0,-35,,,False,0,0,0,-15,5,-10,5
2026-03-10,call,678.85,683.01,674.69,683.01,687.17,678.7849731445312,674.760009765625,target_1,4.16,0.6128,25,10:30,13:25,True,0,0,0,15,5,0,5
2026-03-11,put,675.12,676.3300170898438,680.15,670.09,665.06,680.0800170898438,675.1950073242188,eod,-1.21,-0.1792,-25,11:15,15:55,False,0,0,0,-15,5,0,5
2026-03-12,put,667.98,666.0399780273438,671.72,664.24,660.5,671.6500244140625,668.0499877929688,eod,1.94,0.2904,-35,10:30,15:55,True,0,0,0,-15,5,-10,5
2026-03-13,put,667.66,662.92,672.4,662.92,658.18,672.3350219726562,667.72998046875,target_1,4.74,0.7099,-25,10:40,13:45,True,0,0,0,-15,5,0,5
2026-03-16,call,671.45,668.9600219726562,667.65,675.25,679.05,671.4000244140625,667.7000122070312,eod,-2.49,-0.3708,35,15:10,15:55,False,0,0,0,15,5,10,5
2026-03-17,put,671.52,670.72998046875,674.47,668.57,665.62,674.4299926757812,671.5599975585938,eod,0.79,0.1176,-25,11:30,15:55,True,0,0,0,-15,5,0,5
2026-03-18,put,665.66,661.54,669.78,661.54,657.42,669.719970703125,665.719970703125,target_1,4.12,0.6189,-35,10:45,15:55,True,0,0,0,-15,5,-10,5
2026-03-19,skip,0.0,0.0,0.0,0.0,0.0,659.469970703125,655.1699829101562,no_entry,0.0,0.0,-25,,,False,0,0,0,-15,5,0,5
2026-03-20,put,651.42,646.09,656.75,646.09,640.76,656.6900024414062,651.47998046875,target_1,5.33,0.8182,-30,10:50,15:30,True,0,0,0,-15,0,-10,5
2026-03-23,call,662.35,655.99,655.99,668.71,675.07,662.27001953125,656.0700073242188,stop,-6.36,-0.9602,35,11:00,11:55,False,0,0,0,15,5,10,5
2026-03-24,call,653.66,653.2000122070312,649.81,657.51,661.36,653.585693359375,649.8800048828125,eod,-0.46,-0.0704,35,10:40,15:55,False,0,0,0,15,5,10,5
2026-03-25,put,655.59,656.739990234375,660.97,650.21,644.83,660.8900146484375,655.6699829101562,eod,-1.15,-0.1754,-25,11:15,15:55,False,0,0,0,-15,5,0,5
2026-03-26,call,654.9,650.67,650.67,659.13,663.36,654.8400268554688,650.72998046875,stop,-4.23,-0.6459,35,10:40,12:15,False,0,0,0,15,5,10,5
2026-03-27,put,638.53,634.33,642.73,634.33,630.13,642.6599731445312,638.593994140625,target_1,4.2,0.6578,-35,10:45,15:40,True,0,0,0,-15,5,-10,5
2026-03-30,put,634.62,632.0,640.43,628.81,623.0,640.3699951171875,634.6799926757812,eod,2.62,0.4128,-35,13:10,15:55,True,0,0,0,-15,5,-10,5
2026-03-31,call,643.02,647.8,638.24,647.8,652.58,642.9500122070312,638.3099975585938,target_1,4.78,0.7434,30,12:35,12:40,True,0,0,0,15,0,10,5
2026-04-01,call,656.12,655.1799926757812,652.93,659.31,662.5,656.0499877929688,653.0,eod,-0.94,-0.1433,35,10:35,15:55,False,0,0,0,15,5,10,5
2026-04-02,call,651.17,657.3,645.04,657.3,663.43,651.0999755859375,645.1099853515625,target_1,6.13,0.9414,35,10:30,10:35,True,0,0,0,15,5,10,5
2026-04-06,skip,0.0,0.0,0.0,0.0,0.0,659.719970703125,655.52001953125,no_entry,0.0,0.0,35,,,False,0,0,0,15,5,10,5
2026-04-07,put,651.86,657.64,657.64,646.08,640.3,657.5800170898438,651.9199829101562,stop,-5.78,-0.8867,-35,11:00,13:35,False,0,0,0,-15,5,-10,5
2026-04-08,put,673.92,675.8800048828125,677.13,670.71,667.5,677.0800170898438,673.969970703125,eod,-1.96,-0.2908,-35,10:30,15:55,False,0,0,0,-15,5,-10,5
2026-04-09,skip,0.0,0.0,0.0,0.0,0.0,675.7899169921875,673.9299926757812,no_breakout,0.0,0.0,-20,,,False,0,0,0,-15,5,0,0
2026-04-10,skip,0.0,0.0,0.0,0.0,0.0,681.9299926757812,680.0280151367188,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0
2026-04-13,call,680.07,683.61,676.53,683.61,687.15,680.02001953125,676.5800170898438,target_1,3.54,0.5205,30,10:40,15:20,True,0,0,0,15,5,10,0
2026-04-14,call,691.08,694.53,687.63,694.53,697.98,691.0499877929688,687.6599731445312,target_1,3.45,0.4992,30,10:35,15:30,True,0,0,0,15,5,10,0
2026-04-15,call,696.98,699.8,694.16,699.8,702.62,696.9400024414062,694.2000122070312,target_1,2.82,0.4046,30,10:30,14:55,True,0,0,0,15,5,10,0
2026-04-16,skip,0.0,0.0,0.0,0.0,0.0,701.1400146484375,698.530029296875,no_entry,0.0,0.0,-30,,,False,0,0,0,-15,5,-10,0
2026-04-17,call,709.5,709.4400024414062,705.72,713.28,717.06,709.4600219726562,705.760009765625,eod,-0.06,-0.0085,30,10:30,15:15,False,0,0,0,15,5,10,0
