date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2025-04-21,put,515.6400146484375,511.4,518.47,513.52,511.4,521.6199951171875,515.1900024414062,target_2,4.24,0.8223,-40,10:30,11:30,True,-5,0,0,-20,0,-10,5,-10.0,0.0,0.0,5.0
2025-04-22,call,523.0700073242188,525.83,521.23,524.45,525.83,523.4400024414062,519.1925048828125,target_2,2.76,0.5277,40,10:30,11:30,True,5,0,0,20,0,10,5,-10.0,10.0,0.0,5.0
2025-04-23,call,544.82,542.41,542.41,546.63,548.44,545.4000244140625,539.5999755859375,stop,-2.41,-0.4423,45,10:30,11:30,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2025-04-24,call,542.22998046875,544.77,538.84,544.77,547.31,542.3300170898438,535.4503784179688,target_1,2.54,0.4684,45,10:30,11:30,True,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2025-04-25,put,544.31,546.06,546.06,543.0,541.68,548.1141967773438,543.8900146484375,stop,-1.75,-0.3215,-45,10:30,11:30,False,-5,0,0,-20,5,-10,5,-10.0,10.0,0.0,6.0
2025-04-28,put,550.05,547.62,551.67,548.83,547.62,553.5499877929688,549.6599731445312,target_2,2.43,0.4418,-30,10:30,11:30,True,0,0,0,-20,5,0,5,-10.0,10.0,0.0,5.0
2025-04-29,skip,0.0,0.0,0.0,0.0,0.0,552.7999877929688,548.5499877929688,no_entry,0.0,0.0,-30,,,False,0,0,0,-20,5,0,5,-10.0,10.0,0.0,5.0
2025-04-30,call,546.97,548.84,544.48,548.84,550.71,547.5800170898438,541.52001953125,target_1,1.87,0.3419,35,10:30,11:30,True,5,0,0,20,5,0,5,-10.0,0.0,-8.0,5.0
2025-05-01,call,562.0499877929688,560.37,560.37,563.31,564.57,562.2100219726562,558.6500244140625,stop,-1.68,-0.2989,45,10:30,11:30,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2025-05-02,call,566.2999877929688,567.72,564.41,567.72,569.13,566.3200073242188,562.5900268554688,target_1,1.42,0.2508,45,10:30,11:30,True,5,0,0,20,5,10,5,10.0,10.0,0.0,6.0
2025-05-05,call,564.03,565.63,562.96,564.83,565.63,564.2891235351562,561.7000122070312,target_2,1.6,0.2837,45,10:30,11:30,True,5,0,0,20,5,10,5,10.0,10.0,0.0,6.0
2025-05-06,call,560.5900268554688,563.14,558.89,561.87,563.14,560.9000244140625,556.9749755859375,target_2,2.55,0.4549,45,10:30,11:30,True,5,0,0,20,5,10,5,10.0,0.0,0.0,6.0
2025-05-07,call,561.8049926757812,560.66,560.66,562.66,563.52,561.9600219726562,559.5202026367188,stop,-1.145,-0.2038,40,10:30,11:30,False,5,0,0,20,0,10,5,10.0,10.0,0.0,5.0
2025-05-08,call,565.31,567.41,563.91,566.36,567.41,565.6400146484375,562.3005981445312,target_2,2.1,0.3715,25,10:30,11:30,True,0,0,0,20,0,0,5,10.0,10.0,0.0,4.0
2025-05-09,put,564.2,563.08,565.7,563.08,561.95,567.5,563.8300170898438,target_1,1.12,0.1985,-25,10:30,12:30,True,-5,20,0,-20,5,-10,5,10.0,10.0,0.0,5.0
2025-05-12,skip,0.0,0.0,0.0,0.0,0.0,581.72998046875,577.8900146484375,no_breakout,0.0,0.0,-20,,,False,-5,20,0,-20,5,-10,0,,,,
2025-05-13,call,587.39,588.93,585.34,588.93,590.46,587.9000244140625,582.8400268554688,target_1,1.54,0.2622,60,10:30,13:30,True,5,20,0,20,5,10,0,10.0,10.0,0.0,8.0
2025-05-14,skip,0.0,0.0,0.0,0.0,0.0,588.97998046875,586.3900146484375,no_breakout,0.0,0.0,-5,,,False,0,20,0,-20,5,0,0,,,,
2025-05-15,skip,0.0,0.0,0.0,0.0,0.0,587.1300048828125,585.096923828125,no_breakout,0.0,0.0,-5,,,False,0,20,0,-20,5,0,0,,,,
2025-05-16,call,591.47,592.49,590.79,591.98,592.49,591.6300048828125,590.010009765625,target_2,1.02,0.1725,45,11:30,12:30,True,0,20,0,20,5,0,0,10.0,10.0,0.0,5.0
2025-05-19,call,592.82,590.82,590.82,594.32,595.82,593.2999877929688,588.469970703125,stop,-2.0,-0.3374,60,10:30,11:30,False,5,20,0,20,5,10,0,10.0,0.0,0.0,8.0
2025-05-20,call,593.47,592.8,592.8,593.97,594.48,593.6300048828125,592.0399780273438,stop,-0.67,-0.1129,45,10:30,11:30,False,0,20,0,20,5,0,0,10.0,10.0,0.0,6.0
